"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1771171714837123126","Fri Mar 22 13:46:58 +0000 2024","1","saran cikarang jadi ibu kota baru daripada IKN","1771171714837123126","","","in","Depok, Indonesia","0","0","0","https://twitter.com/adnanca/status/1771171714837123126","76900201","adnanca"
"1770991138427818246","Fri Mar 22 13:21:47 +0000 2024","1","@Piyusaja2 bisa jadi jika Sumatera merdeka saya yakin akan lebih makmur dan bebas dari hutang dan biarkan ikn jadi ibu kota kalimantan","1771165376552042987","","Piyusaja2","in","Kota Medan, Sumatera Utara","0","0","0","https://twitter.com/kartiko_yudo/status/1771165376552042987","795837390","kartiko_yudo"
"1771157020089192925","Fri Mar 22 12:48:34 +0000 2024","0","Rektor Universitas Balikpapan Serahkan Buku IKN ke Pj Gubernur Sulsel: Rektor Universitas Balikpapan Isradi Zaenal menyerahkan buku karyanya tentang Ibu Kota Nusantara (IKN) kepada Pj https://t.co/BmEjDiuOkc #Makassar #PemprovSulsel #PjGubernurSulsel #BahtiarBaharuddin","1771157020089192925","","","in","Makassar, Indonesia","0","0","0","https://twitter.com/terkinidotid/status/1771157020089192925","123757780","terkinidotid"
"1771151390423003424","Fri Mar 22 12:26:12 +0000 2024","0","TYT Dato' Syed Mohamad Hasrin Tengku Hussin Duta Besar Malaysia ke Republik Indonesia telah melakukan lawatan ke Ibu Kota Nusantara (IKN) pada 19 Mac 2024 bagi meninjau tapak pembangunan di IKN yang sedang rancak berjalan.","1771151390423003424","","","in","Jakarta Capital Region","0","1","0","https://twitter.com/MYEmbJKT/status/1771151390423003424","882146389181865984","MYEmbJKT"
"1771126899475161501","Fri Mar 22 10:48:53 +0000 2024","8","Dewan Perwakilan Rakyat (DPR) mengusulkan agar kegiatan DPR sebagai lembaga legislatif tetap berlangsung di Jakarta meskipun pusat pemerintahan pindah ke Ibu Kota Negara (IKN) Nusantara. Penulis Naskah: Alinda Hardiantoro Kreatif: Maura Diquesa Silentioni S Produser: Tri https://t.co/pIThHtMMXE","1771126899475161501","https://pbs.twimg.com/amplify_video_thumb/1771126192378372096/img/NEZH-x92UdHs8Aun.jpg","","in","Jakarta","6","19","3","https://twitter.com/kompascom/status/1771126899475161501","23343960","kompascom"
"1771114360729223387","Fri Mar 22 09:59:04 +0000 2024","0","Semasa kunjungan tersebut Bapak Saribua Siahaan daripada Kementerian Inventasi Republik Indonesia juga telah memberikan pencerahan berkenaan pelaburan di Ibu Kota Nusantara (IKN).","1771114364210434068","","MYEmbJKT","in","Jakarta Capital Region","0","1","0","https://twitter.com/MYEmbJKT/status/1771114364210434068","882146389181865984","MYEmbJKT"
"1771112200150896859","Fri Mar 22 09:50:33 +0000 2024","0","Berdasarkan UU no 3 Th 2022 tentang Ibu Kota Negara ibu kota Indonesia berpindah ke Ibu Kota Nusantara (IKN). Oleh sebab itu Jakarta yang telah menjadi ibu kota &amp; menerapkan ekosistem kota cerdas berpindah status menjadi Daerah Khusus Jakarta dan berperan sebagai kota global. https://t.co/ByYoiXu3Bt","1771112218534580540","https://pbs.twimg.com/media/GJRBK3Hb0AA2DUv.jpg","jakartasatudki","in","Jakarta, Indonesia","0","1","0","https://twitter.com/jakartasatudki/status/1771112218534580540","1351377853774921731","jakartasatudki"
"1771102013977169992","Fri Mar 22 09:10:00 +0000 2024","3","Pada abad 18 di Kalimantan pernah berdiri REPUBLIK LAN FANG yang mayoritas Warga Negaranya Tionghoa tapi oleh Kolonial BELANDA-Protestan dibubarkan adapun #IKN: Ibu Kota Nestapa didirikan oleh Hubertus #SoeKOWI persiapan sebagai Ibu Kota #IndochinaRaya tahun 2025. #SoeDADANG https://t.co/oDCWNr7x6t","1771102013977169992","https://pbs.twimg.com/media/GJQ34JhaMAAI253.jpg","","in","#NusantaraMerdesa","1","0","1","https://twitter.com/kafirliberal/status/1771102013977169992","108230103","kafirliberal"
"1771091513608491379","Fri Mar 22 08:28:16 +0000 2024","0","Pemerintah Otorita Ibu Kota Nusantara (OIKN) tengah mencari solusi untuk pengembangan kepariwisataan di kawasan IKN. Diharapkan jadi langkah penting untuk membuat IKN menjadi lebih memiliki daya tarik wisata secara nasional. https://t.co/KBbB9VZG2u","1771091513608491379","","","in","Kalimantan Timur","0","0","0","https://twitter.com/sisikotadotcom/status/1771091513608491379","1745724524681940992","sisikotadotcom"
"1771085666337628245","Fri Mar 22 08:05:02 +0000 2024","9","Masyarakat Adat Suku Balik Pemaluan menentang keras peringatan pihak Otorita Ibu Kota Negara (IKN) baru-baru ini yang meminta warga untuk mengosongkan rumah mereka dalam tenggang waktu selama tujuh hari. https://t.co/jOGUVzmpEy","1771085666337628245","","","in","","0","0","6","https://twitter.com/RumahAMAN/status/1771085666337628245","264056433","RumahAMAN"
